C,run_1,run_2,run_3,run_4,CPP,run_1,run_2,run_3,run_4,SMT,run_1,run_2,run_3,run_4,GO,run_1,run_2,run_3,run_4,Java,run_1,run_2,run_3,run_4,Qiskit,run_1,run_2,run_3,run_4
no_input,129977,125863,127871,125333,no_input,175619,183362,184304,182685,no_input,48228,52449,50653,52021,no_input,35570,35173,37549,34768,no_input,14264,13767,14576,14889,no_input,32080,31821,32202,30701
documentation,139500,137215,136067,136033,documentation,191247,187460,186943,190471,documentation,50137,49060,49481,50109,documentation,36586,35699,36405,35982,documentation,15247,15649,15176,15707,documentation,31718,31675,31372,32922
ap,182174,184422,181952,181571,ap,191971,188448,193173,187678,ap,50034,52456,51762,51731,ap,36771,37643,35973,36542,ap,15498,15736,16087,16029,ap,32736,33097,32716,32216
ap_gen_strat,188148,186272,184173,183369,ap_gen_strat,193254,194418,193102,194606,ap_gen_strat,52449,52715,53269,53843,ap_gen_strat,37561,37355,38612,38394,ap_gen_strat,16128,16208,16299,16199,ap_gen_strat,33853,33928,34041,33828
no_loop,137142,145308,144390,146556,no_loop,191128,191176,189621,189225,no_loop,49839,52065,49164,49289,no_loop,35606,35572,36196,35982,no_loop,15128,15533,15672,15444,no_loop,32865,32920,32943,31923
no_input,51.27,35.25,45.95,37.79,no_input,50.21,52.05,52.88,51.38,no_input,41.59,52.46,51.3,52.6,no_input,43.61,38.98,38.39,37.16,no_input,61.75,48.22,39.78,51.25,no_input,35.82,38.13,31.95,32.63
documentation,34.53,34.66,33.81,32.8,documentation,32.07,34.83,36.87,31.39,documentation,40.33,38.63,41.6,37.38,documentation,17.22,17.2,15.51,17.44,documentation,38.39,36.92,34.62,40.64,documentation,23.2,22.54,21.48,23.74
ap,39.24,41.01,37.88,38.24,ap,36.97,37.77,35.92,35.82,ap,50.24,48.92,40.15,40.83,ap,31.13,25.35,18.63,24.35,ap,48.63,45.38,44.61,43.54,ap,29.4,30.02,28.95,28.12
ap_gen_strat,38.64,45.22,41.13,37.31,ap_gen_strat,43.73,40.29,42.54,38.31,ap_gen_strat,48.68,52.06,48.06,51.43,ap_gen_strat,21.07,39.79,34.09,33.04,ap_gen_strat,49.48,49.82,51.66,52.99,ap_gen_strat,30.85,24.15,28.35,26.45
no_loop,35.46,35.24,35.51,30.72,no_loop,31.27,30.96,24.95,25.81,no_loop,16.42,18.25,17.72,21.25,no_loop,29.29,15.06,14.21,18.95,no_loop,48.91,43.69,43.48,42.69,no_loop,25.63,21.91,25.57,23.04