,run_1,run_2,run_3,run_4,run_5,run_1,run_2,run_3,run_4,run_5,run_1,run_2,run_3,run_4,run_5
GrayC,107234,104738,75237,119468,114955,168223,168399,165873,168409,166359,95.95,95.98,96.01,95.99,95.88
Csmith,61638,64063,61846,60933,60933,111836,111760,111606,111690,111450,99.998,99.987,99.987,99.987,99.979
\tech,44290,43713,44912,43045,45658,197623,198932,198520,199668,199894,34.23,41.3,37.89,37.39,35.49
YarpGen,256488,256254,257630,255630,251901,168905,166156,166308,165541,166162,99.994,99.996,99.988,99.994,99.988
\tech,26064,25687,27603,26222,26247,205176,202430,217581,204457,224071,40.72,41.11,40.57,40.04,41.27
typefuzz,41249,49599,41000,41159,42000,46268,46109,46213,46144,46137,94.48,91.92,94.22,92.85,92.75
\tech,31060,26955,29356,51043,41857,57527,57845,56875,58761,57360,46.74,45.22,47.55,52.61,46.02
gofuzz,20808,21000,19700,19200,19300,38370,38098,37605,38125,37921,100,100,100,100,100
\tech,24173,21620,20394,23021,24879,42940,43268,43438,43429,43510,29.2,25.89,21.27,15.52,23.22
hephaestus,728217,738423,719445,735241,719760,10241,10274,10293,10295,10322,57.27,56.34,58.23,57.1,57.17
\tech,31912,32178,32582,32296,30865,16726,15944,16659,16841,16591,50.52,37.22,52.73,52.16,52.61
morphq,32737,42004,41204,40204,36220,19921,19932,19936,19946,19911,100,100,100,100,100
\tech,32319,33481,33965,31381,36125,34895,34874,35526,34681,34871,23.76,26.51,23.64,25.15,25.44